,Name,Price,Rating,Reviews,Product Link,Image
0,"MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360 View | 2MP | AI Powered Motion Detection | Enhanced Night Vision| Talk Back Feature (2 Way Calling), 1080p, White","2,999",4.1,"[""Nice product with good picture quality. Micro SD card 32gb shows error message, inspite of the fact that it's blank, it asks to format.\nThere is no alert as such, but it gets notification when motion is detected. One way calling facilities active even from a distance of 2000kms..value for money..for outdoor safety it's recommended.."", ""Recently, I decided to try the MI Xiaomi Wireless Home Security Camera 2i 2022 Edition, and I have been impressed with its performance, features, and affordability. Here is a detailed review of this security camera.\n\nImage Quality and Performance:\nThe MI Xiaomi Wireless Home Security Camera 2i 2022 Edition boasts a 1080p full HD resolution, providing crisp and clear images during the day. The infrared night vision feature ensures excellent visibility in low-light conditions, allowing for continuous monitoring throughout the day and night. The 130-degree wide-angle lens offers extensive coverage, reducing blind spots and capturing a broader view of the monitored area.\n\nEase of Installation and Use:\nOne of the standout features of this security camera is its ease of installation and use. The camera connects wirelessly to your home Wi-Fi network, eliminating the need for complicated wiring or professional installation. The user-friendly MI Home app allows for seamless setup, live streaming, and remote access from your smartphone or tablet, making it easy to monitor your home while on the go.\n\nMotion Detection and Alerts:\nThe MI Xiaomi Wireless Home Security Camera 2i 2022 Edition is equipped with intelligent motion detection, which sends instant notifications to your smartphone or tablet when any unusual activity is detected. This feature ensures that you are always aware of what is happening in your home, providing peace of mind and added security.\n\nTwo-Way Audio:\nThis security camera features a built-in microphone and speaker, allowing for two-way audio communication. This function is particularly useful for communicating with family members, pets, or even potential intruders in real-time.\n\nData Storage and Security:\nThe MI Xiaomi Wireless Home Security Camera 2i 2022 Edition offers multiple storage options, including local storage via a microSD card and cloud storage through the MI Cloud service. The camera's secure encryption ensures that your data remains protected and private.\n\nAffordability:\nOne of the main selling points of the MI Xiaomi Wireless Home Security Camera 2i 2022 Edition is its affordability. Despite its impressive features and performance, this security camera is competitively priced, making it an excellent option for homeowners on a budget.\n\nMinor Drawback:\nThe only minor drawback of this security camera is that it requires a stable Wi-Fi connection to function optimally. In areas with weak or inconsistent Wi-Fi signals, the camera's performance may be affected.\n\nIn conclusion, the MI Xiaomi Wireless Home Security Camera 2i 2022 Edition offers excellent value for money, providing high-quality images, advanced features, and ease of use at an affordable price. With a 5-star rating, I highly recommend this security camera to anyone looking for a reliable and budget-friendly home security solution."", ""I like the quality of the video recording. It records 1080p video which looks clear even in low light conditions.\nIt also have the event detection feature which records videos when some movement is detected and the best part is that the video clips are stored in cloud for later viewing. I will buy a couple of more cameras to cover my whole house.\nOnly one thing which I didn't like was that the camera which I received was a used unit as the seal on the packaging was broken (see picture) and camera has to be reset to be used for the first time.\nDon't buy from this seller but buy this camera even if it is a bit expensive. The cloud storage makes up for the price. Product highly recommended but the seller not so much."", 'Have to wait for a loooong time to connect. In case of emergency monitoring situation, this camera will not provide live feed instantly because of its connectivity issue.\n\nVideo streaming is also slow especially while changing the position of the camera.\nAnd it doesn’t have object tracking/motion tracking\n\nAlready I’m using realme cam for the past two years. Comparing to realme smartcam 360, redmi 2i was very slow. Connecting time is also very slow.\n\nAudio and video quality is not as realme smart cam\n\nBetter go for realme. You can have 16 days backups, good build quality, But the only thing, the lens got damaged in realme. I still don’t got any firmware updates. And the video stored in encrypted format. This might be a positive side and as well as negative side of the camera. you can access the backups only through the app.\nBut mi doesn’t have.\nEven though I have these many issues, realme camera is a step ahead of mi security camera\n\nBoth are almost same price right!\nIt is up to you.\n\nMi 2i camera is not good as they advertise.', ""New Generation Camera's Built quality is really bad and cheap. It was much better before and now it's not good at all. Finally they showed their Chinese pledge. I still appreciate their app and the camera quality! If you can manage it properly then you should buy it. But now, it won't last long. And its too expensive with that built quality. Better look other options too. I have 4 old Cameras and two new. Both new is dead within a time gap of 3 months. And old one is alive since 4 years. Even outdoor (not under direct sky), Night vision is awesome."", '', 'Good', 'Excellent product from MI. But Wi-Fi properly not connecting even there is enough range.']",https://www.amazon.in/MI-Wireless-Security-Detection-Enhanced/dp/B0B51WPT24/ref=sr_1_1?keywords=camera&qid=1687375608&sr=8-1,https://m.media-amazon.com/images/I/51hkb1CYemL._SX679_.jpg
1,TP-Link Tapo 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV (Tapo C200) White,"2,499",4.2,"["" Very useful and efficient surveillance camera. People complaining here either don't know how to play with the camera settings through the APP or customise various options in the APP as per the need. You have everything there on the TAPO App.\n\nYou have options like motion detection, person detection, baby crying detection, detection activity notifications on your mobile as per the customised schedule you want (without any subscription to cloud or anything), camera local alarm (warning) with flash and siren based on the set timings, recording with Audio, 2 way audio communication between camera and APP, motion tracking, privacy mode and what not?\n\nChoose 360 degree camera with pan and tilt option because you can get more than fixed cameras. It automatically rotate 360 degree based on the motion and continue to track until the activity is stopped. So, one camera does the work of 3 or 4 cameras and eliminates the requirement of more cameras. Using Pan and Tilt option on the App, rotate the camera to the required position, then mark, label and save it it so that wherever it rotates, it automatically comes back to the marked position. You can also manually bring the camera to marked position whenever it is away from your preferred direction.\n\nWhen the camera detects any person, it sends the notification to your phone with a snapshot of that detection person (when you have paid subscription). Free users also get notifications but without the snapshot picture. When you click on the notification, it automatically play back the recorded motion. It also warn the person with barking or siren kind of sound and a thin LED flashing. If it is home, it is better to set the timing only for nights to avoid too many notifications during the day time. Also, it's better to turn off the 'Motion detection' but keep the 'Person detection' ON, so that you can avoid unwanted notifications like tree, leaf movements etc.\n\nMake sure to connect the camera to inverter power line to work during power cuts also.\n\nAlthough upto 256 GB class 10 micro SD card can be used, we just need to buy 64 or 128 GB capacity memory card and set the camera option to 'detection recording only' rather than continuous recording so that you can make use of the card for longer days and easy to search & play back because motion recordings are usually smaller clips. You can play back, take a screenshot or download the recordings and share via WhatsApp or other Apps.\n\nOther good thing is, it continue to record even when there is internet outage and camera is not able to connect to the Wifi because of outage. That means, you can't watch live on your phone because the camera is not connected to wifi, but you can play back the detections recorded during outage once the internet is back and camera is connected back with WiFi signal. This is because the recorded clips are saved in the local memory card regardless of internet is there or not. But to play back on your phone, for sure, camera needs to be connected to internet through WiFi. In this sense, local storage is much preferable than paid cloud storage.\n\nYou can also share the device with the family members so that they can also watch live or play back from memory from anywhere in the world (not possible for the guest to change the settings in the APP, only admin can modify the settings). You can also add multiple cameras to the same APP and control all of them through settings from anywhere around the world.\n\nIf you have fibre broadband with 5G speed, connect the camera to 2.4G, because all the 5G broadband modems have dual band, i.e., it will have 2.4G option also. So, no issues.\n\nFor the people who are confusing about the paid subscription and all, let me tell you clearly, you don't need it at all! What you get additional for paying monthly or yearly subscription are 'Cloud storage' (which is not must if you have local memory card), 'AI detection', 'Snapshot notification' (free people still get notifications without snapshot) and something called 'Smart sort'. Nothing is going to affect you without the above features. For your reference, I've attached the screenshot about the paid plans and comparison between the two paid plans (basic and premium).\n\nOverall, I'm highly satisfied with the purchase and definitely will add more.\n\nMy only disappointment is the color of the power cord and adapter which is black, would have been nice if they have provided white color, so that it will match with the camera color, wall and ceiling which are mostly white. Other thing is, you can't watch this camera on your Android Smart TV, because when I tried to install the Tapo App on my TV through Google play store, it said, the App is not downloadable on TV units. This is something, Tapo needs to resolve.\n\nLet me know if this review is helpful to you!"", 'Works perfectly with geofencing and motion detection. It can be monitored from anywhere in the world. Easy to install.', ',setting and activation processes may be simplified', ""Thanks to Amazon for delivering product with good condition on time.\n\nThis product is good but as per claim its not supporting 128 GB memory card. Please use 64 GB card. Cloud storage price is very high. Other products will provide cloud storage in cheaper rate.\n\nCustomer care is not responsive so do not expect anything from them. If you call on their number they will advise to return product through Amazon. If return period is over then they will ask to send mail and after that they won't give response to that mail."", 'Using this product as baby monitor. Best results. Value for money.', 'Mobile app of CCTV Tapo , working very good.\nbut more expensive item compare to other one.', ""It is a great product.\nInstructions for installation are easy to follow in the video link.\nProduct performance is excellent after installation.\nNow coming to connectivity issue.\nThe camera has to be connected to the camera app on your smartphone for completing setup.\nThe critical part is that it requires a 2.4ghz WiFi connection. The normal speed of most WiFi's is 5ghz for high speed data.\nNow easy solution is that you place the camera at farthest distance from your routers, where the signal is weaker. Here the speed will automatically reduce to 2.4ghz. once the link between camera and app is established and setup complete then it will work anywhere within your WiFi range in your premises."", 'Very good in picture quality but my one camera out it 9 is Night Vision problem but no one listens to me no customer care no email', 'Zanokomicie i niezawodnie spełnia swoją funkcję. Łatwy montaż, uruchomienie i obsługa, bardzo polecam.', 'satisfied with the quality and the price\nthe picture is clear and apps is easy to use\nwill buy more', 'I bought this camera and not one of its successor models as it was reviewed as having a better quality in low light/night settings. How true! The image quality is really good all around but the non-pixelated night images are best (actually picture in basement without any lights on). For an all round camera with some useful features (tilt/rotate, sound two-ways) this one is highly recommended', ""This camera is very good, application is good , but the sound isn't as good as we hope."", 'Rewelacyjna kamera, wszystko idealnie działa.\nSzkoda że nie można podłączyć przewodu internetowego.\nMam wrażenie że kamera jest podobna do Xiaomi, aplikacja też.\nMimo tych dwóch minusów polecam kamerę.']",https://www.amazon.in/TP-Link-Wireless-Security-Tapo-C200/dp/B07XLML2YS/ref=sr_1_2?keywords=camera&qid=1687375608&sr=8-2,https://m.media-amazon.com/images/I/61XL2jzXhTL._SX679_.jpg
2,"CP PLUS 2MP Full HD Smart Wi-Fi CCTV Home Security Camera |360° with Pan Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Upto 128 GB), Alexa & Google Support | IR Distance 10mtr | CP-E25A","1,666",3.6,"[""Full Reveiw for this particular model:\nPros:\nCheaper\nEasy to connect and install\nMobile app available\nBuild quality is ok\nPicture is good\nMotion detect photo alert is sent to mobile app and notification sound is played (not long alarm, just message sound).\nCamera view can be controlled using app.\nCan be installed upside down on ceilings.\nIt is indoor cctv & Not fully outdoor cctv but does the job.\nHas 2 way speaking option (audio is of medium volume and quality is ok to good).\n\nImportant CONS:\nPoor overall sound while monitoring through app. Constant shrieking sound is made when audio is turned on and if there is any audio (so it should always be off when you open mobile app to hear any sound).\nAudio echo occurs.\nSD card is a MUST to record video (live stream is shown in app but for video record you need SD card on cctv. Record on mobile is available, i.e you need to open cctv in app, and then press record button just like how you do in your mobile camera, but that will close if you close the app.)\nMotion detect alert will show only an image in your phone, then you need to quickly see it in phone app. Else you cant view the video of what happened.\nNo option to view what's recorded in cctv sd card (also if you set loop recording, contents will be erased after sometime, so set to event based recording which will record only when there is any motion).\nImagine if cctv is stolen along with SD card, there is no way you can see what happened, you will be just left with one picture in app (so this is fully indoor, and you should not expect any movement, if any movement occurs, you need to quickly take action/call police, that's the only option you are left with).\nNeeds constant power supply, no battery backup and power cable is not very long, can jus place within 1-1.5 ft.\n\nCP PLUS must definitely provide access to view what is on SD card remotely, atleast store it in CLOUD for atleast 1-2 days, because, there is no way, people can constantly look out for motion alerts and keep watching it on mobile and say if cctv is stolen, nothing can be viewed. IT IS MUST THAT VIDEO ON SD CARD SHOULD BE SAVED ON CLOUD/ MOBILE AUTOMATICALLY. THATS THE ONLY WAY TO IMPROVE this CP PLUS CCTV.\n\nYou can buy if you just need to keep an eye for any motion. For permanent long time businesses or long time house tracking, this doesn't suit all the cases."", ""Concert to security in present scenario can't believe on anyone blindly , it is very good product to assure your Loveonce are safe at home at office etc. VERY EASY TO INTALL AND CLOUD STREAM IS IN YOUR HAND. ANYWHERE ANY TIME. VERY GOOD PRODUCTS."", 'This does not work without WIFI!!\nCan be setup easily using Android app. Not tested in IOS.\nNeed to buy 128GB memory card seperate (MAX 128 GB supported)\nRecords one week of footage in HD quality. (IT Can also over write the recording for continous recording)\nDoes not have inbuild battery.\nNeeds to be constantly connected to WIFI. (Does not need internet in the WIFI though)\nCan be stuck on the celing with double sided tape or screws are provided.\nDoes not consume much power.\nNeeds a AC power plug.\nYou can remotely view live or recorded video on your cellphone using app. It needs your email to login.\nIt has night vision.\nIt also has motion detection and traking (its very bad tough)\nIf motion detected it will track it but wont go back to its original position automatically.', 'I had brought the camera to see my cat when he was alone and I was out. I had put it in between the wall to have the view of both the sides of the bed. The picture quality is nice. Controls work good.', 'Works all good but there is one problem when compared to other camera models\nThis one keeps beeping alerts\n1) when you switch on , everytime it says ""camera starting, searching for Wifi connection, wifi connection success""\n2) so everytime there is power cut and when it comes back the camera goes on with this alerts, which is annoying\nfor this reason you cant use it as stealth camera', 'Worth for money', 'Excellent performance and working good', 'Motion detection movement not working properly.. and its default...rest of the product is perfect update... We can go with this product... Not a big issue.. It works like a security guard 👍']",https://www.amazon.in/CP-PLUS-Security-Distance-CP-E25A/dp/B0BBV83YF9/ref=sr_1_3?keywords=camera&qid=1687375608&sr=8-3,https://m.media-amazon.com/images/I/31Nk80-hUUL.jpg
3,Canon EOS 200D II 24.1MP Digital SLR Camera + EF-S 18-55mm f4 is STM Lens (Black),"58,999",4.5,"['For flash light use TTL V860II C\nIt is good 👍 best flash light', ""Only camera in market that you can go and buy with closed eyes with out much research , without any technical know-how. Many had commented it's best for beginners but i don't understand what will professionals buy ? If you are a pro then you might go for a extra lens what else will you add on .\nThe pic clarity ,operational ease and handling (weight distribution) all are perfect ."", 'Good for beginners', ""Overall Amazing performance.\nGreat for beginners and still good for professional also.\nI'm happy with this product.\nBought it on Big Billion day.\nCamera+kit lens(18-55mm) and Prime lens(50mm) in just Rs. 64,480"", 'Really good for the beginners to start there photography journey. Good feature and good price, but the biggest disappointment is there is no sd card inside the box. At this price I expected the sd card.', 'i bought after long research, but i have a small doubt it is good or not. After using it i got so happy that its picture qaulity, image options, zoom every thing is too good it has all automatic options.', 'I am satisfied with the Camera 📷', ""Perfect DSLR camera for beginners and enthusiasts. 24.1 mega pixel Sensor, Digic 8 processor with Dual pixel AF and vari-angle Touch screen definitely a big plus to this camera.\n\nwith a combination of point-and-shoot simplicity, a Guided UI (user interface) to walk new users through the basics of photography, and a Creative Assist mode for more adventurous photographic effects.\n\nThe vari-angle screen on the back is excellent. You switch to Live View by pressing a button on the back of the camera and you can then use the touch control to set the focus point and change camera settings. It's sharp, colourful and clear and the touch response is awesome. Apart from the mechanical noise when the mirror is flipped up to enter Live View mode, this is just like using a mirrorless camera, as the autofocus response is just as rapid.\n\nOne thing I Don't understand why Canon Stores images only 72DPI while Nikon stores at 300DPI? Can any one explain this?\n\n4K video is a big selling point on this camera, but you do notice a couple of limitations , there's a significant 'crop factor' in 4K mode, which means your lens's angle of view effectively becomes narrower. Any how, I am not much using videos.\n\nBattery life is good and last for longer period.\n\nPros:\nVery light and compact DSLR\nDual pixel AF\nGreat Live View auto focus response\nVari-angle touchscreen\nSimple but effective controls\nBuiltin WiFi & Bluetooth.\n\nCons:\nOnly 9 AF points in viewfinder shooting.\nNot compatible for 3rd party flash must go with Canon only.\nNo USB charging. No GPS."", ""I bought this for the aspiring young YouTuber of the house and he couldn't be happier. It performs all it's duties beautifully and produces outstanding video/photos."", ""The product description mentioned that there is SD card included but I don't find any memory card. Please send the memory card to my address and I will change the rating."", ""I bought this camera a year ago when it was on sale on Amazon. I am an absolute novice and this camera helps you learn to a certain extent. I also bought a 300 dollar 250 mm lens which is what I took most of the photos here on and I used lightroom to post produce the shots. The moon I took just hand held and on manual settings. Get the camera off automatic, watch some YouTube clips by photographers who give tutorials and you're on your way to some fun shooting. I've had this camera for over a year and it's been fantastic."", 'The fact this comes with a great all purpose wide lens and all the built in preset modes make it almost as easy as taking photos on my iPhone but much better quality. I come home and slap the SD card into my iMac and the photos are superb.', 'This is a very good entry level DSLR. Very light weight, good for my 12-year-old child to use.']",https://www.amazon.in/Canon-EOS-200D-II-Digital/dp/B07RJWB548/ref=sr_1_4?keywords=camera&qid=1687375608&sr=8-4,https://m.media-amazon.com/images/I/41J1kYfM6PL.jpg
4,Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18-55 is II Lens,"41,990",4.4,"[""It's the best camera for beginners to learn the photography and basic camera functions. Pictures are quite good in normal light conditions. But just ok in low light condition. This is not a camera for videography. There is only 1080p video recording at 25fps. Videos are not stable. Overall best for learn photography."", 'Nice product', 'Excellent', 'The serial number of camera doesn’t match with the serial number printed on the bill. I am not able to register my product for online warranty.', 'Nice prodeks And good', 'All conditions good', 'Not a good product', ""Value for money. Go for it. All the above pics are from kit lens. They didn't give memory card and bag. You have to buy it seperately.""]",https://www.amazon.in/Canon-1500D-Digital-Camera-S18-55/dp/B07BS4TJ43/ref=sr_1_5?keywords=camera&qid=1687375608&sr=8-5,
5,TP-Link Tapo 360° 3MP 2304 Full HD 1296P Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vision| Motion Detection | Indoor CCTV (Tapo C210) White,"2,999",4.2,"["" Very useful and efficient surveillance camera. People complaining here either don't know how to play with the camera settings through the APP or customise various options in the APP as per the need. You have everything there on the TAPO App.\n\nYou have options like motion detection, person detection, baby crying detection, detection activity notifications on your mobile as per the customised schedule you want (without any subscription to cloud or anything), camera local alarm (warning) with flash and siren based on the set timings, recording with Audio, 2 way audio communication between camera and APP, motion tracking, privacy mode and what not?\n\nChoose 360 degree camera with pan and tilt option because you can get more than fixed cameras. It automatically rotate 360 degree based on the motion and continue to track until the activity is stopped. So, one camera does the work of 3 or 4 cameras and eliminates the requirement of more cameras. Using Pan and Tilt option on the App, rotate the camera to the required position, then mark, label and save it it so that wherever it rotates, it automatically comes back to the marked position. You can also manually bring the camera to marked position whenever it is away from your preferred direction.\n\nWhen the camera detects any person, it sends the notification to your phone with a snapshot of that detection person (when you have paid subscription). Free users also get notifications but without the snapshot picture. When you click on the notification, it automatically play back the recorded motion. It also warn the person with barking or siren kind of sound and a thin LED flashing. If it is home, it is better to set the timing only for nights to avoid too many notifications during the day time. Also, it's better to turn off the 'Motion detection' but keep the 'Person detection' ON, so that you can avoid unwanted notifications like tree, leaf movements etc.\n\nMake sure to connect the camera to inverter power line to work during power cuts also.\n\nAlthough upto 256 GB class 10 micro SD card can be used, we just need to buy 64 or 128 GB capacity memory card and set the camera option to 'detection recording only' rather than continuous recording so that you can make use of the card for longer days and easy to search & play back because motion recordings are usually smaller clips. You can play back, take a screenshot or download the recordings and share via WhatsApp or other Apps.\n\nOther good thing is, it continue to record even when there is internet outage and camera is not able to connect to the Wifi because of outage. That means, you can't watch live on your phone because the camera is not connected to wifi, but you can play back the detections recorded during outage once the internet is back and camera is connected back with WiFi signal. This is because the recorded clips are saved in the local memory card regardless of internet is there or not. But to play back on your phone, for sure, camera needs to be connected to internet through WiFi. In this sense, local storage is much preferable than paid cloud storage.\n\nYou can also share the device with the family members so that they can also watch live or play back from memory from anywhere in the world (not possible for the guest to change the settings in the APP, only admin can modify the settings). You can also add multiple cameras to the same APP and control all of them through settings from anywhere around the world.\n\nIf you have fibre broadband with 5G speed, connect the camera to 2.4G, because all the 5G broadband modems have dual band, i.e., it will have 2.4G option also. So, no issues.\n\nFor the people who are confusing about the paid subscription and all, let me tell you clearly, you don't need it at all! What you get additional for paying monthly or yearly subscription are 'Cloud storage' (which is not must if you have local memory card), 'AI detection', 'Snapshot notification' (free people still get notifications without snapshot) and something called 'Smart sort'. Nothing is going to affect you without the above features. For your reference, I've attached the screenshot about the paid plans and comparison between the two paid plans (basic and premium).\n\nOverall, I'm highly satisfied with the purchase and definitely will add more.\n\nMy only disappointment is the color of the power cord and adapter which is black, would have been nice if they have provided white color, so that it will match with the camera color, wall and ceiling which are mostly white. Other thing is, you can't watch this camera on your Android Smart TV, because when I tried to install the Tapo App on my TV through Google play store, it said, the App is not downloadable on TV units. This is something, Tapo needs to resolve.\n\nLet me know if this review is helpful to you!"", 'Works perfectly with geofencing and motion detection. It can be monitored from anywhere in the world. Easy to install.', ',setting and activation processes may be simplified', ""Thanks to Amazon for delivering product with good condition on time.\n\nThis product is good but as per claim its not supporting 128 GB memory card. Please use 64 GB card. Cloud storage price is very high. Other products will provide cloud storage in cheaper rate.\n\nCustomer care is not responsive so do not expect anything from them. If you call on their number they will advise to return product through Amazon. If return period is over then they will ask to send mail and after that they won't give response to that mail."", 'Using this product as baby monitor. Best results. Value for money.', 'Mobile app of CCTV Tapo , working very good.\nbut more expensive item compare to other one.', ""It is a great product.\nInstructions for installation are easy to follow in the video link.\nProduct performance is excellent after installation.\nNow coming to connectivity issue.\nThe camera has to be connected to the camera app on your smartphone for completing setup.\nThe critical part is that it requires a 2.4ghz WiFi connection. The normal speed of most WiFi's is 5ghz for high speed data.\nNow easy solution is that you place the camera at farthest distance from your routers, where the signal is weaker. Here the speed will automatically reduce to 2.4ghz. once the link between camera and app is established and setup complete then it will work anywhere within your WiFi range in your premises."", 'Very good in picture quality but my one camera out it 9 is Night Vision problem but no one listens to me no customer care no email', 'Zanokomicie i niezawodnie spełnia swoją funkcję. Łatwy montaż, uruchomienie i obsługa, bardzo polecam.', 'satisfied with the quality and the price\nthe picture is clear and apps is easy to use\nwill buy more', 'I bought this camera and not one of its successor models as it was reviewed as having a better quality in low light/night settings. How true! The image quality is really good all around but the non-pixelated night images are best (actually picture in basement without any lights on). For an all round camera with some useful features (tilt/rotate, sound two-ways) this one is highly recommended', ""This camera is very good, application is good , but the sound isn't as good as we hope."", 'Rewelacyjna kamera, wszystko idealnie działa.\nSzkoda że nie można podłączyć przewodu internetowego.\nMam wrażenie że kamera jest podobna do Xiaomi, aplikacja też.\nMimo tych dwóch minusów polecam kamerę.']",https://www.amazon.in/TP-Link-Security-Rotational-Required-Definition/dp/B095CLQ1PT/ref=sr_1_6?keywords=camera&qid=1687375608&sr=8-6,https://m.media-amazon.com/images/I/51MPjJ3Zb7L._SX679_.jpg
6,CP PLUS 3 MP Full HD Smart Wi-fi CCTV Camera | 360° Pan & Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Up to 128 GB) | Alexa & OK Google | 2-Way Talk | IR Distance 10Mtr | CP-E35A,"1,749",3.8,"['Everything is good about this camera except that the cord could have been a little longer. I have been using 2 other brand cameras but they were a bit expensive and had paid motion detection service. But CP plus cameras have this feature for free and also the range is very nominal. The camera quality is also good.', 'Please update playback speed in app to 4x, 8x', 'Good product', 'Charging cable is very small', ' VERY GOOD QUALITY RECORDING AND LIVE LIEW Very Clear picture when ZoomIn', 'Awesome product. Worth every rupees spent .\nCons - Slow movement of camera of motion tracking system.', 'Quality product,\nIt work superbly,\nBudget friendly cam,', 'Esay to instal. But not recording continuesly,, see photos.if wifi is disconnected continuously talking """"WIFI CONNECTION DISCONNECTED"""". its veri disturbing']",https://www.amazon.in/CP-PLUS-Camera-Distance-CP-E35A/dp/B0BKQMLT5V/ref=sr_1_7?keywords=camera&qid=1687375608&sr=8-7,https://m.media-amazon.com/images/I/31KJ+RY7LWL.jpg
7,JNKC HD Mini Camera Wireless WiFi 1080P Home Security Nanny IP Ball Cam with Motion Detection Night Vision (Magnet Camera),899,4.0,"['Clear view and easy to use camera.', 'Bed quality', 'Wastage of money.\nVery low quality material.\nCamera resolution is very bad.\nSoftware lags alot.\nStay away from this product and add some little money and buy a better one.\nVery disappointed with the purchase.', 'Vlaue for many', 'Excellent project nice quality. video quality is good', 'Better', 'Neither it has night vision nor audio, also the range is very less. No use..Waste of money', 'Best product']",https://www.amazon.in/JNKC-Camera-Wireless-Security-Detection/dp/B0BQBTR7HM/ref=sr_1_8?keywords=camera&qid=1687375608&sr=8-8,https://m.media-amazon.com/images/I/61oqXYUebbL._SX679_.jpg
8,Action Camera 1080P 12MP Sports Camera Full HD 2.0 Inch Action Cam 30m/98ft Underwater Waterproof Camera with Mounting Accessories,"1,299",2.5,"['Wi fi canet nhi horaha hy fhoto fat rahi hy😩', 'The Product is working fine. There is no issue in the functional part, My primary purpose is as baby monitor. I am completely happy with the working as it is Easy installation with App. The video/picture quality of the stream is ultimate.', ""The product doesn't work, at the same time it's been 20 days I have initiated return, but it's not been taken back, am still waiting"", 'Good product delivers what expected and 32 gb is enough for giving hassle free 15 days motion based recording', ' Dislike please solve my issue or tell me how to send back the instument', 'Iski video quality kharab h.. Iske phle bhi mene isi model ke 2 camere liye h unki video quality achi h', ""The quality of this cam is really good, it's a magnetic cam so u don't need to wire it up on the wall or ceiling. Useful for the purpose and rotates 360 degree and night vision quality is also good"", 'Battery only 10 minut working very bad product']",https://www.amazon.in/Action-Underwater-Waterproof-Mounting-Accessories/dp/B0B6SYJZ81/ref=sr_1_9?keywords=camera&qid=1687375608&sr=8-9,https://m.media-amazon.com/images/I/710HmU1cAwL._SX679_.jpg
9,"CP PLUS 3MP Full HD Smart Wi-fi CCTV Home Security Camera | 360° View | 2 Way Talk | Cloud Monitor | Motion Detect | Night Vision | Supports SD Card, Alexa & Ok Google | 15 Mtr, White- CP-E31A","2,069",3.8,"['not live stream with mobile data camera is always connected with WiFi if you want see live stream your mobile also connect WiFi connection this is very big problem and volume is very very low I have d3d camera and it’s voice is very loud', 'Fully satisfied working very good vedio quality good', ""The cctv mentioned that there would be a cloud support, but couldn't figure out if it is provided.It is not mentioned anywhere. Moreover,if you want to the cctv switch on /off you will have to do it by switching on/off the power supply(unlike other products there is no provision to do it with the app)."", 'Good', 'The camera has lot of issues which outweighs its features.\n\n1. It connected to the WiFi router, but the WiFi disconnects every 10-15 seconds and reconnects again. The issue is not there when connected to a different WiFi router. Couldn\'t find the reason why this happens. I have 98% signal in the camera. Customer care wasn\'t any help. I can see that a lot of people have the same issue.\n\n2. The camera announces ""disconnected from WiFi"" and ""connecting to WiFi"" everytime it connects. This is weird, because we don\'t want others to know that the security camera is disconnected. An app notification is all that is required.\n\n3. This camera has motion tracking, but it seems not working correctly. The camera doesn\'t always go back to its original position after the movement stops. Hence I\'ve disabled this feature in the app.\n\n4. Also, the camera is changing its position slightly for 2 days at night. So the footages are useless until it is manually moved back to the initial position. This is totally unacceptable behavior.\n\n5. Night vision is too bad. It is grainy. Looks like it doesn\'t have DNR / digital noise reduction. Video is also dull at night. It is usable only if used in a small room, or there is some light. If used outdoors (Use under the shade. Its not weather proof), turn on some light throughout the night. Otherwise night vision will be too dark and dull.\n\n6. Moving the camera position from the app instantly moves the camera lens. But the video has a lot of lag and it is difficult to control it from the app.\n\n7. Connecting to the video stream is laggy and it connects to the camera half of the time. Other time, we have to try again from the app.\n\nSo far all Cons. Now the pros are:\n1. It has good day time vision. It is excellent for the price for daytime use. No issues during the day.\n\n2. The motion detection notifications are good. We can see snapshots of the motion detection alerts. This is beneficial since we can see who or what moved in the camera field of view without playing each motion detection video. A quick glance can give a lot of information. I own Tapo cameras which gives this feature only with their paid subscription.\n\n3. This camera has LAN port, unlike other turret cameras in this price range.\n\n4. The camera has ONVIF support, so it can connect to NVR. (I haven\'t tested this feature yet).\n\nI own and also have shared multiple Tapo security cameras and they all were pretty good. Bought this CP Plus camera for someone else because of the price, features and the brand value, but the software issues made the user experience too bad. The issues make this camera unreliable and unusable for me.', 'The product is good with ONVIF protocol support. Only point, you will have to keep seeing in mobile or PC but cannot be readily connected to a monitor without PC unlike DVR/NVRs which provides the facility to view on fix monitor or web.', 'Good', 'The camera quality is average.\nBut i bought it on name.\nBut in long term quality remains average.\nThe application is totally useless. If you want to access camera remotely buy offline.\nThe accessibility is extremely poor.\nApp has 1000s of bugs .\nMemory card is also limited .\nBut it was fitting in my requirement so I gave 4 stars']",https://www.amazon.in/CP-PLUS-Security-Supports-CP-E31A/dp/B0B42TZQ4C/ref=sr_1_10?keywords=camera&qid=1687375608&sr=8-10,https://m.media-amazon.com/images/I/31jX+aam1nL._SX679_.jpg
