,Name,Price,Rating,Reviews,Product Link,Image
0,"SrO 6 Wireless Home Security Surveillance Cameras with Night Vision_ Motion Detection Sports and Action Camera  (Black, 1080 MP)",₹685,3.2,"['Not good', 'Very much comfort thank you we can suggest our friends', 'Very bad', '', '', '', '', '', '', '']",https://www.flipkart.com/sro-6-wireless-home-security-surveillance-cameras-night-vision-motion-detection-sports-action-camera/p/itm5fa7e0a3f256d?pid=SAYGBZ77BTBPXMFK&lid=LSTSAYGBZ77BTBPXMFKUEBISM&marketplace=FLIPKART&q=camera&store=jek%2Fp31&spotlightTagId=BestsellerId_jek%2Fp31&srno=s_1_1&otracker=search&fm=organic&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGBZ77BTBPXMFK.SEARCH&ppt=sp&ppn=sp&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/kvvad8w0/sports-action-camera/k/x/f/spy-magnet-camera-wifi-hidden-camera-wireless-hd-1080p-indoor-original-imafxeen9r3zepwy.jpeg?q=70
1,"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens  (Black)","₹30,499",4.4,"[""product really great . I am totally sctified this product .really good camera for beggner .but flash button was missing that is not good .and capture is 18 mp wasn't good I was hopeed it will be 24 mp . it is also missing .n everything is good ."", 'Satisfied with the product.. Its a really good for all who wants to learn photography its a gem and love.... Go for itt....10/10', ""Well Reviewing this after using for almost one month.\nI would prefer for the beginner photography. Simple without any complexity. It's best if you learn to use it at Manual mode"", '', '', '', '', '', '', '']",https://www.flipkart.com/canon-eos-3000d-dslr-camera-1-body-18-55-mm-lens/p/itm6f665fea97bc2?pid=CAMF3DHJURPEMNRN&lid=LSTCAMF3DHJURPEMNRN8AVERV&marketplace=FLIPKART&q=camera&store=jek%2Fp31&spotlightTagId=BestsellerId_jek%2Fp31&srno=s_1_2&otracker=search&fm=organic&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.CAMF3DHJURPEMNRN.SEARCH&ppt=sp&ppn=sp&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70
2,"Bzrqx Mini Security Double Antenna Auto Rotating 1080p Night Vision Mobile CCTV Wifi Live Streaming Sports and Action Camera  (White, 12 MP)","₹1,297",3.7,"['Super camera', 'Good', 'Average okay', '', '', '']",https://www.flipkart.com/bzrqx-mini-security-double-antenna-auto-rotating-1080p-night-vision-mobile-cctv-wifi-live-streaming-sports-action-camera/p/itm073125560241f?pid=SAYGD7Z3HXGWCMXM&lid=LSTSAYGD7Z3HXGWCMXMMKJGJF&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_3&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGD7Z3HXGWCMXM.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l1pc3gw0/sports-action-camera/f/y/y/double-antenna-auto-rotating-1080p-night-vision-mobile-cctv-wifi-original-imagd7z2z6fzf4gh.jpeg?q=70
3,"SrO 6 Spy Magnet Camera WiFi Hidden Camera Wireless HD 1080P Indoor Home Small Spy Camera Security Cameras Nanny Camera Built-in Battery with Motion Detection Night Vision Security Camera Security Camera (64 GB, 1 Channel) Sports and Action Camera  (Black, 1080 MP)",₹694,3.1,"['good', 'Very nice for indor..', 'It was not a good product', '', '', '', '', '', '', '']",https://www.flipkart.com/sro-6-spy-magnet-camera-wifi-hidden-wireless-hd-1080p-indoor-home-small-security-cameras-nanny-built-in-battery-motion-detection-night-vision-64-gb-1-channel-sports-action/p/itm10d884fabb85f?pid=SAYG8Z84Q2MVYAD5&lid=LSTSAYG8Z84Q2MVYAD5DFLP9B&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_4&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYG8Z84Q2MVYAD5.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/kvvad8w0/sports-action-camera/p/f/x/spy-magnet-camera-wifi-hidden-camera-wireless-hd-1080p-indoor-original-imag8z83egkudzjc.jpeg?q=70
4,"SROPX MINI HD Mini WiFi Security Camera, Indoor Surveillance Camera with Audio and Video Sports and Action Camera  (Black, 12 MP)",₹899,3.4,['My product is not on very bad'],https://www.flipkart.com/sropx-mini-hd-wifi-security-camera-indoor-surveillance-camera-audio-video-sports-action/p/itm1581102030316?pid=SAYGEGVAKTSZBX8H&lid=LSTSAYGEGVAKTSZBX8HW8GYQR&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_5&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGEGVAKTSZBX8H.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l186t8w0/home-security-camera/o/3/f/1-magnet-kss00-indoor-outdoor-security-camera-bzrqx-original-imagcuf2txzhrbxg.jpeg?q=70
5,"CASON CS6 Real 4K Dual Screen Action Camera for Vlogging With EIS+Gyro, Touch Screen Waterproof Sports Camera with External Mic,2 x 1350 mAh Batteries Sports and Action Camera  (Black, 24 MP)","₹10,395",3.9,"['Good 🤳👍👍', ""If you are looking for a Vlogging camera at a cheap price then definitely go for it. It's working good\nCamera Quality:- Good\nSound clarity Internal and external mic:- Both are good quality.\n\nHighly recommended action camera 📸.\nThank you CASON"", 'Very good', '', '', '', '', '', '', '']",https://www.flipkart.com/cason-cs6-real-4k-dual-screen-action-camera-vlogging-eis-gyro-touch-waterproof-sports-external-mic-2-x-1350-mah-batteries/p/itmf76d35cc3b544?pid=SAYGC9A2YTZNSBWT&lid=LSTSAYGC9A2YTZNSBWTG5E3FI&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_6&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGC9A2YTZNSBWT.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l0h1g280/sports-action-camera/x/c/r/touch-screen-waterproof-sports-camera-with-external-mic-2-x-1350-original-imagc9a2hgvjyx4x.jpeg?q=70
6,"Bzrqx Mini Security CCTV 1080p Wifi Double Antenna Auto Rotating Night Vision Mobile Live Streaming Sports and Action Camera  (White, 12 MP)","₹1,299",3.6,"['Good', 'Camera quality not good video quality not good very bad', 'Very bad', '']",https://www.flipkart.com/bzrqx-mini-security-cctv-1080p-wifi-double-antenna-auto-rotating-night-vision-mobile-live-streaming-sports-action-camera/p/itm3ddc0867239dc?pid=SAYGD7ZCMGRK6PFZ&lid=LSTSAYGD7ZCMGRK6PFZR3RHUN&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_7&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGD7ZCMGRK6PFZ.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l1pc3gw0/sports-action-camera/h/f/u/cctv-1080p-wifi-double-antenna-auto-rotating-night-vision-mobile-original-imagd7zcxbzxrt4x.jpeg?q=70
7,"SJCAM SJ 4000 Air 4K Full HD WiFi 30M Waterproof Sports Action Camera Waterproof DV Camcorder 16MP Sports and Action Camera  (Black, 16 MP)","₹4,399",3.7,"['The quality and rest everything is fine but be ready for no battery backup.\nMax it gives 45 minutes of recording, which might definitely be an issue, so do get an extra battery,\nThe quality is amazing at this price, do check akaso cameras as well.', 'This cam is verry good. value for money product . The packaging is verry neat . The camera it self is verry good can not compare it to go pro. But it is still a good camera if you want to start a youtube channel it is good for bigneers. The video quality is good it is clear. It also have slowmo . The watterproof casing is of gud quality . If you are on a budget then for for this camers 😊', '#Worth_it. Without second thought you can buy. Remember this for beginners. If you\'re a traveller or vlog person you better choose better than this. ""I\'m a beginner"" why I said this because I don\'t know how to use properly and also don\'t know which is best to buy. Moreover I want to buy in budget. So, I choose it. Finally, the quality of photo is okay and the video is better than okay.', '', '', '', '', '', '', '']",https://www.flipkart.com/sjcam-sj-4000-air-4k-full-hd-wifi-30m-waterproof-sports-action-camera-dv-camcorder-16mp/p/itm3f81a086c29fd?pid=SAYF956CJMBUUJFK&lid=LSTSAYF956CJMBUUJFKNMENUA&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_8&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYF956CJMBUUJFK.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/koudfgw0/sports-action-camera/k/l/3/4000-air-4k-full-hd-wifi-30m-waterproof-sports-action-camera-original-imag37azyptu4zak.jpeg?q=70
8,"SIOVS Mini small Body PEN Nanny Camera Full Hd 1080p Video Audio Recording Taking 75 Minutes Battery Life Sports and Action Camera  (Black, 12 MP)","₹1,799",3.8,"['very good', 'Ok', 'Nice product']",https://www.flipkart.com/siovs-mini-small-body-pen-nanny-camera-full-hd-1080p-video-audio-recording-taking-75-minutes-battery-life-sports-action/p/itm0467f80eca995?pid=SAYGC3PFZXBCEBY4&lid=LSTSAYGC3PFZXBCEBY4RIBET5&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_9&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.SAYGC3PFZXBCEBY4.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/ky3b0y80/home-security-camera/w/l/5/1-drd000035-indoor-outdoor-security-camera-ctrzq-original-imagaebvgmvpuqpc.jpeg?q=70
9,SONY Alpha Full Frame ILCE-7M2K/BQ IN5 Mirrorless Camera Body with 28 - 70 mm Lens  (Black),"₹76,999",4.4,"[""I was looking for a full frame budget camera.. finally shortlisted A7 2 and eos rp..\n\nA7 2\nGood for stills with excellent dynamic range but auto focus is bit slow.\n\nEos rp\nGood autofocus capabilities compared to A7 2 but dynamic range is not upto the mark.\n\nSince my focus is completely on stills , decided to get A7 2..\n\nIf you are looking for a still camera go for A7 2. It won't disappoint you ( nikon d810 was my last camera).. for videography don't get this body..\n\nPositives\n1. Excellent pi...\nREAD MORE"", ""Awesome camera for the price. It's old yes, but the sensor is good enough in daylight. It has little trouble in low light. Also, you may wanna buy a better lens. The camera body is really good, but the same can't be said about the kit lens. It's good enough for beginners tho."", 'First - the packaging and the seller - The packaging was good though not outstanding but safe enough. The seller ""CORSECA"" really impressed me by its timely delivery. For me, the seller must get 5 stars from me.\n\nSecond - inside the package - There was a handy camera bag from Sony and a 64 GB Memory card (SDXC - V30 class 10, Read speed 270 MB/s, Write speed 70 MB/s) also from Sony. Now, again 5 stars from me in terms of extra accessories.\n\nThird - inside the box - 1. The Sony 7M2K (Alpha 7II...\nREAD MORE', '', '', '', '', '', '', '']",https://www.flipkart.com/sony-alpha-full-frame-ilce-7m2k-bq-in5-mirrorless-camera-body-28-70-mm-lens/p/itm92df94dc68fff?pid=DLLF6QZPNKTQMS8J&lid=LSTDLLF6QZPNKTQMS8JIDUHNS&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_10&otracker=search&iid=fd07d32d-8762-40e8-b021-61bb45fbe938.DLLF6QZPNKTQMS8J.SEARCH&ssid=4qrk1zm5eo0000001687374555415&qH=dd6d2dcc679d12b9,https://rukminim1.flixcart.com/image/416/416/l5jxt3k0/dslr-camera/m/n/a/-original-imagg7hsggshhwbz.jpeg?q=70
