,Name,Price,Rating,Reviews,Product Link
0,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)","₹1,19,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-deep-purple-128-gb/p/itm75f73f63239fa?pid=MOBGHWFHYGAZRWFT&lid=LSTMOBGHWFHYGAZRWFT3ZMVDX&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_1&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHYGAZRWFT.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
1,"APPLE iPhone 14 Pro (Space Black, 128 GB)","₹1,19,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-space-black-128-gb/p/itm6e6711f2982c8?pid=MOBGHWFHZBHSYBBW&lid=LSTMOBGHWFHZBHSYBBWZRMCHS&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_2&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHZBHSYBBW.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
2,"APPLE iPhone 14 Pro (Space Black, 256 GB)","₹1,29,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-space-black-256-gb/p/itmbf9b9d0d108a7?pid=MOBGHWFHMSKYWVTR&lid=LSTMOBGHWFHMSKYWVTRKZV7U3&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_3&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHMSKYWVTR.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
3,"APPLE iPhone 14 Pro (Silver, 128 GB)","₹1,19,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-silver-128-gb/p/itm6933eb5fb30fb?pid=MOBGHWFHGQGUHWRK&lid=LSTMOBGHWFHGQGUHWRKGU5JN5&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_4&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHGQGUHWRK.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
4,"APPLE iPhone 14 Pro (Gold, 128 GB)","₹1,19,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-gold-128-gb/p/itme5895e593585d?pid=MOBGHWFHXPC3NFFY&lid=LSTMOBGHWFHXPC3NFFYC5Y9VU&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_5&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHXPC3NFFY.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
5,"APPLE iPhone 14 Pro (Gold, 256 GB)","₹1,29,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-gold-256-gb/p/itm9b3566b996597?pid=MOBGHWFHGGXGCRRP&lid=LSTMOBGHWFHGGXGCRRPYZW3DP&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_6&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHGGXGCRRP.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
6,"APPLE iPhone 14 Pro (Gold, 512 GB)","₹1,49,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-gold-512-gb/p/itm2baef06bbd342?pid=MOBGHWFHN8TWTXJA&lid=LSTMOBGHWFHN8TWTXJA9FZGC7&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_7&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHN8TWTXJA.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
7,"APPLE iPhone 14 Pro (Space Black, 1 TB)","₹1,69,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-space-black-1-tb/p/itm753a220ef7086?pid=MOBGHWFHYNZZ7RBP&lid=LSTMOBGHWFHYNZZ7RBPLYLBZW&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_8&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHYNZZ7RBP.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
8,"APPLE iPhone 14 Pro (Silver, 1 TB)","₹1,69,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-silver-1-tb/p/itm87b6f4daf8cd0?pid=MOBGHWFHSY5K7VGA&lid=LSTMOBGHWFHSY5K7VGAM3MJJG&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_9&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHSY5K7VGA.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
9,"APPLE iPhone 14 Pro (Gold, 1 TB)","₹1,69,999",4.7,,https://www.flipkart.com/apple-iphone-14-pro-gold-1-tb/p/itm02b2bc7f8c906?pid=MOBGHWFHT5RCQ9QG&lid=LSTMOBGHWFHT5RCQ9QGQBAXQ9&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_10&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHT5RCQ9QG.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
10,"APPLE iPhone 14 Pro Max (Space Black, 128 GB)","₹1,27,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-space-black-128-gb/p/itm9aed88fe43457?pid=MOBGHWFHCNVGGMZF&lid=LSTMOBGHWFHCNVGGMZFEEIZN3&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_11&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHCNVGGMZF.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
11,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)","₹1,27,999",4.6,,https://www.flipkart.com/apple-iphone-14-pro-max-deep-purple-128-gb/p/itm5256789ae40c7?pid=MOBGHWFHCWHXRZZJ&lid=LSTMOBGHWFHCWHXRZZJ9EECH5&marketplace=FLIPKART&q=iPhone14Pro&store=tyy%2F4io&srno=s_1_12&otracker=search&iid=421816fb-a10d-487b-baca-b28bee7f50e6.MOBGHWFHCWHXRZZJ.SEARCH&ssid=dxw52hozeo0000001687296923907&qH=84a36be78d1e2c16
